议员姓名,年份,所属党派,备注
Angelika Gl?ckner,2017,SPD,
Angelika Gl?ckner,2018,SPD,
Angelika Gl?ckner,2019,SPD,
Angelika Gl?ckner,2020,SPD,
Angelika Gl?ckner,2021,SPD,
Angelika Graf (Rosenheim),1995,SPD,
Angelika Graf (Rosenheim),1996,SPD,
Angelika Graf (Rosenheim),1997,SPD,
Angelika Graf (Rosenheim),1998,SPD,
Angelika Graf (Rosenheim),1999,SPD,
Angelika Graf (Rosenheim),2000,SPD,
Angelika Graf (Rosenheim),2001,SPD,
Angelika Graf (Rosenheim),2002,SPD,
Angelika Graf (Rosenheim),2003,SPD,
Angelika Graf (Rosenheim),2004,SPD,
Angelika Graf (Rosenheim),2005,SPD,
Angelika Graf (Rosenheim),2006,SPD,
Angelika Graf (Rosenheim),2007,SPD,
Angelika Graf (Rosenheim),2008,SPD,
Angelika Graf (Rosenheim),2009,SPD,
Angelika Graf (Rosenheim),2010,SPD,
Angelika Graf (Rosenheim),2011,SPD,
Angelika Graf (Rosenheim),2012,SPD,
Angelika Graf (Rosenheim),2013,SPD,
Angelika Krüger-Lei?ner,1998,SPD,
Angelika Krüger-Lei?ner,1999,SPD,
Angelika Krüger-Lei?ner,2000,SPD,
Angelika Krüger-Lei?ner,2001,SPD,
Angelika Krüger-Lei?ner,2003,SPD,
Angelika Krüger-Lei?ner,2004,SPD,
Angelika Krüger-Lei?ner,2005,SPD,
Angelika Krüger-Lei?ner,2006,SPD,
Angelika Krüger-Lei?ner,2007,SPD,
Angelika Krüger-Lei?ner,2008,SPD,
Angelika Krüger-Lei?ner,2009,SPD,
Angelika Krüger-Lei?ner,2010,SPD,
Angelika Krüger-Lei?ner,2011,SPD,
Angelika Krüger-Lei?ner,2012,SPD,
Angelika Krüger-Lei?ner,2013,SPD,
Angelika Mertens,1995,SPD,
Angelika Mertens,1996,SPD,
Angelika Mertens,1997,SPD,
Angelika Mertens,1998,SPD,
Angelika Mertens,1999,SPD,
Angelika Mertens,2000,SPD,
Angelika Pfeiffer,1991,CDU/CSU,
Angelika Pfeiffer,1992,CDU/CSU,
Angelika Pfeiffer,1994,CDU/CSU,
Angelika Pfeiffer,1995,CDU/CSU,
Angelika Pfeiffer,1996,CDU/CSU,
Angelika Pfeiffer,1997,CDU/CSU,
Angelika Pfeiffer,1998,CDU/CSU,
Angelika Volquartz,1999,CDU/CSU,
Angelika Volquartz,2000,CDU/CSU,
Angelika Volquartz,2001,CDU/CSU,
Angelika Volquartz,2002,CDU/CSU,
Angermeyer,1977,FDP,
Angermeyer,1978,FDP,
Angermeyer,1979,FDP,
Angermeyer,1980,FDP,
Anita Sch?fer,1999,CDU/CSU,
Anita Sch?fer,2000,CDU/CSU,
Anita Sch?fer,2001,CDU/CSU,
Anita Sch?fer (Saalstadt),2003,CDU/CSU,
Anita Sch?fer (Saalstadt),2004,CDU/CSU,
Anita Sch?fer (Saalstadt),2005,CDU/CSU,
Anita Sch?fer (Saalstadt),2006,CDU/CSU,
Anita Sch?fer (Saalstadt),2007,CDU/CSU,
Anita Sch?fer (Saalstadt),2008,CDU/CSU,
Anita Sch?fer (Saalstadt),2009,CDU/CSU,
Anita Sch?fer (Saalstadt),2010,CDU/CSU,
Anita Sch?fer (Saalstadt),2011,CDU/CSU,
Anita Sch?fer (Saalstadt),2012,CDU/CSU,
Anita Sch?fer (Saalstadt),2013,CDU/CSU,
Anita Sch?fer (Saalstadt),2014,CDU/CSU,
Anita Sch?fer (Saalstadt),2015,CDU/CSU,
Anita Sch?fer (Saalstadt),2016,CDU/CSU,
Anita Sch?fer (Saalstadt),2017,CDU/CSU,
Anita Sch?fer (Saalstadt),2018,CDU/CSU,
Anita Sch?fer (Saalstadt),2019,CDU/CSU,
Anita Sch?fer (Saalstadt),2020,CDU/CSU,
Anja Hajduk,2002,Grüne/Bündnis 90,
Anja Hajduk,2003,Grüne/Bündnis 90,
Anja Hajduk,2004,Grüne/Bündnis 90,
Anja Hajduk,2005,Grüne/Bündnis 90,
Anja Hajduk,2006,Grüne/Bündnis 90,
Anja Hajduk,2007,Grüne/Bündnis 90,
Anja Hajduk,2008,Grüne/Bündnis 90,
Anja Hajduk,2014,Grüne/Bündnis 90,
Anja Hajduk,2015,Grüne/Bündnis 90,
Anja Hajduk,2016,Grüne/Bündnis 90,
Anja Hajduk,2017,Grüne/Bündnis 90,
Anja Hajduk,2018,BüNDNIS 90/DIE GRüNEN,
Anja Hajduk,2019,BüNDNIS 90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Anja Hajduk,2019,BüNDNIS?90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Anja Hajduk,2020,BüNDNIS?90/DIE GRüNEN,
Anja Hajduk,2021,BüNDNIS?90/DIE GRüNEN,
Anja Karliczek,2014,CDU/CSU,
Anja Karliczek,2015,CDU/CSU,
Anja Karliczek,2016,CDU/CSU,
Anja Karliczek,2017,CDU/CSU,
Anke Domscheit-Berg,2017,DIE LINKE,
Anke Domscheit-Berg,2018,DIE LINKE,
Anke Domscheit-Berg,2019,DIE LINKE,
Anke Domscheit-Berg,2020,DIE LINKE,
Anke Domscheit-Berg,2021,DIE LINKE,
Anke Eymer,1991,CDU/CSU,
Anke Eymer,1992,CDU/CSU,
Anke Eymer,1994,CDU/CSU,
Anke Eymer,1995,CDU/CSU,
Anke Eymer,1996,CDU/CSU,
Anke Eymer,1997,CDU/CSU,
Anke Eymer,1998,CDU/CSU,
Anke Fuchs (K?ln),1991,SPD,
Anke Fuchs (K?ln),1992,SPD,
Anke Fuchs (K?ln),1993,SPD,
Anke Fuchs (K?ln),1994,SPD,
Anke Fuchs (K?ln),1995,SPD,
Anke Fuchs (K?ln),1996,SPD,
Anke Fuchs (K?ln),1997,SPD,
Anke Fuchs (K?ln),1998,SPD,
Anke Fuchs (K?ln),1999,SPD,
Anke Fuchs (K?ln),2000,SPD,
Anke Fuchs (K?ln),2001,SPD,
Anke Hartnagel,1999,SPD,
Anke Hartnagel,2000,SPD,
Anke Hartnagel,2001,SPD,
Anke Hartnagel,2002,SPD,
Anke Hartnagel,2003,SPD,
Anna Lührmann,2003,Grüne/Bündnis 90,
Anna Lührmann,2004,Grüne/Bündnis 90,
Anna Lührmann,2005,Grüne/Bündnis 90,
Anna Lührmann,2006,Grüne/Bündnis 90,
Anna Lührmann,2007,Grüne/Bündnis 90,
Anna Lührmann,2008,Grüne/Bündnis 90,
Anna Lührmann,2009,Grüne/Bündnis 90,
Annalena Baerbock,2013,Grüne/Bündnis 90,
Annalena Baerbock,2014,Grüne/Bündnis 90,
Annalena Baerbock,2015,Grüne/Bündnis 90,
Annalena Baerbock,2016,Grüne/Bündnis 90,
Annalena Baerbock,2017,Grüne/Bündnis 90,
Annalena Baerbock,2018,BüNDNIS 90/DIE GRüNEN,
Annalena Baerbock,2019,BüNDNIS 90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Annalena Baerbock,2019,BüNDNIS?90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Annalena Baerbock,2020,BüNDNIS?90/DIE GRüNEN,
Annalena Baerbock,2021,BüNDNIS?90/DIE GRüNEN,
Annelie Buntenbach,1995,Grüne/Bündnis 90,
Annelie Buntenbach,1996,Grüne/Bündnis 90,
Annelie Buntenbach,1997,Grüne/Bündnis 90,
Annelie Buntenbach,1998,Grüne/Bündnis 90,
Annelie Buntenbach,1999,Grüne/Bündnis 90,
Annelie Buntenbach,2000,Grüne/Bündnis 90,
Annelie Buntenbach,2001,Grüne/Bündnis 90,
Annelie Buntenbach,2002,Grüne/Bündnis 90,
Anneliese Augustin,1991,CDU/CSU,
Anneliese Augustin,1992,CDU/CSU,
Anneliese Augustin,1993,CDU/CSU,
Anneliese Augustin,1994,CDU/CSU,
Anneliese Augustin,1995,CDU/CSU,
Anneliese Augustin,1996,CDU/CSU,
Anneliese Augustin,1998,CDU/CSU,
Annelle Buntenbach,1995,Grüne/Bündnis 90,
Annelle Buntenbach,1996,Grüne/Bündnis 90,
Annette Fa?e,1995,SPD,
Annette Fa?e,1996,SPD,
Annette Fa?e,1997,SPD,
Annette Fa?e,1998,SPD,
Annette Fa?e,1999,SPD,
Annette Fa?e,2000,SPD,
Annette Fa?e,2001,SPD,
Annette Fa?e,2002,SPD,
Annette Fa?e,2003,SPD,
Annette Fa?e,2004,SPD,
Annette Fa?e,2005,SPD,
Annette Fa?e,2006,SPD,
Annette Fa?e,2007,SPD,
Annette Fa?e,2008,SPD,
Annette Fa?e,2009,SPD,
Annette Groth,2009,DIE LINKE,
Annette Groth,2010,DIE LINKE,
Annette Groth,2011,DIE LINKE,
Annette Groth,2012,DIE LINKE,
Annette Groth,2013,DIE LINKE,
Annette Groth,2014,DIE LINKE,
Annette Groth,2015,DIE LINKE,
Annette Groth,2016,DIE LINKE,
Annette Groth,2017,DIE LINKE,
Annette Sawade,2012,SPD,
Annette Sawade,2013,SPD,
Annette Sawade,2014,SPD,
Annette Sawade,2015,SPD,
Annette Sawade,2016,SPD,
Annette Sawade,2017,SPD,
Annette Schavan,2014,CDU/CSU,
Annette Widmann-Mauz,1999,CDU/CSU,
Annette Widmann-Mauz,2000,CDU/CSU,
Annette Widmann-Mauz,2001,CDU/CSU,
Annette Widmann-Mauz,2002,CDU/CSU,
Annette Widmann-Mauz,2003,CDU/CSU,
Annette Widmann-Mauz,2004,CDU/CSU,
Annette Widmann-Mauz,2005,CDU/CSU,
Annette Widmann-Mauz,2006,CDU/CSU,
Annette Widmann-Mauz,2007,CDU/CSU,
Annette Widmann-Mauz,2008,CDU/CSU,
Annette Widmann-Mauz,2009,CDU/CSU,
Annette Widmann-Mauz,2011,CDU/CSU,
Annette Widmann-Mauz,2012,CDU/CSU,
Annette Widmann-Mauz,2014,CDU/CSU,
Annette Widmann-Mauz,2016,CDU/CSU,
Annette Widmann-Mauz,2019,CDU/CSU,
Anni Brandt-Elsweier,1991,SPD,
Anni Brandt-Elsweier,1993,SPD,
Anni Brandt-Elsweier,1994,SPD,
Anni Brandt-Elsweier,1995,SPD,
Anni Brandt-Elsweier,1996,SPD,
Anni Brandt-Elsweier,1997,SPD,
Anni Brandt-Elsweier,1999,SPD,
Anni Brandt-Elsweier,2000,SPD,
Anni Brandt-Elsweier,2001,SPD,
Anni Brandt-Elsweier,2002,SPD,
Ansgar Heveling,2010,CDU/CSU,
Ansgar Heveling,2011,CDU/CSU,
Ansgar Heveling,2012,CDU/CSU,
Ansgar Heveling,2013,CDU/CSU,
Ansgar Heveling,2014,CDU/CSU,
Ansgar Heveling,2015,CDU/CSU,
Ansgar Heveling,2016,CDU/CSU,
Ansgar Heveling,2017,CDU/CSU,
Ansgar Heveling,2018,CDU/CSU,
Ansgar Heveling,2019,CDU/CSU,
Ansgar Heveling,2020,CDU/CSU,
Ansgar Heveling,2021,CDU/CSU,
Antje Blumenthal,2002,CDU/CSU,
Antje Blumenthal,2004,CDU/CSU,
Antje Blumenthal,2005,CDU/CSU,
Antje Blumenthal,2006,CDU/CSU,
Antje Blumenthal,2007,CDU/CSU,
Antje Blumenthal,2008,CDU/CSU,
Antje Blumenthal,2009,CDU/CSU,
Antje Hermenau,1995,Grüne/Bündnis 90,
Antje Hermenau,1996,Grüne/Bündnis 90,
Antje Hermenau,1997,Grüne/Bündnis 90,
Antje Hermenau,1998,Grüne/Bündnis 90,
Antje Hermenau,1999,Grüne/Bündnis 90,
Antje Hermenau,2000,Grüne/Bündnis 90,
Antje Hermenau,2001,Grüne/Bündnis 90,
Antje Hermenau,2002,Grüne/Bündnis 90,
Antje Hermenau,2003,Grüne/Bündnis 90,
Antje Hermenau,2004,Grüne/Bündnis 90,
Antje Lezius,2014,CDU/CSU,
Antje Lezius,2015,CDU/CSU,
Antje Lezius,2016,CDU/CSU,
Antje Lezius,2017,CDU/CSU,
Antje Lezius,2018,CDU/CSU,
Antje Lezius,2019,CDU/CSU,
Antje Lezius,2020,CDU/CSU,
Antje Lezius,2021,CDU/CSU,
Antje Tillmann,2002,CDU/CSU,
Antje Tillmann,2003,CDU/CSU,
Antje Tillmann,2004,CDU/CSU,
Antje Tillmann,2006,CDU/CSU,
Antje Tillmann,2007,CDU/CSU,
Antje Tillmann,2008,CDU/CSU,
Antje Tillmann,2009,CDU/CSU,
Antje Tillmann,2010,CDU/CSU,
Antje Tillmann,2011,CDU/CSU,
Antje Tillmann,2012,CDU/CSU,
Antje Tillmann,2013,CDU/CSU,
Antje Tillmann,2014,CDU/CSU,
Antje Tillmann,2015,CDU/CSU,
Antje Tillmann,2016,CDU/CSU,
Antje Tillmann,2017,CDU/CSU,
Antje Tillmann,2018,CDU/CSU,
Antje Tillmann,2019,CDU/CSU,
Antje Tillmann,2020,CDU/CSU,
Antje Tillmann,2021,CDU/CSU,
Antje Vogel-Sperl,2003,Grüne/Bündnis 90,
Antje-Marie Steen,1991,SPD,
Antje-Marie Steen,1992,SPD,
Antje-Marie Steen,1993,SPD,
Antje-Marie Steen,1994,SPD,
Antje-Marie Steen,1995,SPD,
Antje-Marie Steen,1996,SPD,
Antje-Marie Steen,1997,SPD,
Antje-Marie Steen,1998,SPD,
Antje-Marie Steen,1999,SPD,
Antje-Marie Steen,2000,SPD,
Antje-Marie Steen,2001,SPD,
Anton Schaaf,2003,SPD,
Anton Schaaf,2004,SPD,
Anton Schaaf,2005,SPD,
Anton Schaaf,2006,SPD,
Anton Schaaf,2007,SPD,
Anton Schaaf,2008,SPD,
Anton Schaaf,2009,SPD,
Anton Schaaf,2010,SPD,
Anton Schaaf,2011,SPD,
Anton Schaaf,2012,SPD,
Anton Schaaf,2013,SPD,
Antretter,1981,SPD,
Antretter,1982,SPD,
Antretter,1983,SPD,
Antretter,1984,SPD,
Antretter,1985,SPD,
Antretter,1986,SPD,
Antretter,1987,SPD,
Antretter,1988,SPD,
Antretter,1989,SPD,
Antretter,1990,SPD,
Arendt,1962,SPD,
Arendt (Wassenscheid),1965,SPD,
Arendt (Wattenscheid),1962,SPD,
Arendt (Wattenscheid),1963,SPD,
Arendt (Wattenscheid),1964,SPD,
Arendt (Wattenscheid),1965,SPD,
Arendt (Wattenscheid),1966,SPD,
Arendt (Wattenscheid),1967,SPD,
Arfst Wagner (Schleswig),2012,Grüne/Bündnis 90,
Aribert Wolf,1998,CDU/CSU,
Aribert Wolf,1999,CDU/CSU,
Aribert Wolf,2000,CDU/CSU,
Aribert Wolf,2001,CDU/CSU,
Aribert Wolf,2002,CDU/CSU,
Armin Laschet,1995,CDU/CSU,
Armin Laschet,1996,CDU/CSU,
Armin Laschet,1997,CDU/CSU,
Armin Laschet,1998,CDU/CSU,
Armin Schuster (Weil am Rhein),2009,CDU/CSU,
Armin Schuster (Weil am Rhein),2010,CDU/CSU,
Armin Schuster (Weil am Rhein),2011,CDU/CSU,
Armin Schuster (Weil am Rhein),2012,CDU/CSU,
Armin Schuster (Weil am Rhein),2013,CDU/CSU,
Armin Schuster (Weil am Rhein),2014,CDU/CSU,
Armin Schuster (Weil am Rhein),2015,CDU/CSU,
Armin Schuster (Weil am Rhein),2016,CDU/CSU,
Armin Schuster (Weil am Rhein),2017,CDU/CSU,
Armin Schuster (Weil am Rhein),2018,CDU/CSU,
Armin Schuster (Weil am Rhein),2019,CDU/CSU,
Armin Schuster (Weil am Rhein),2020,CDU/CSU,
Armin-Paulus Hampel,2017,AfD,
Armin-Paulus Hampel,2018,AfD,
Armin-Paulus Hampel,2019,AfD,
Armin-Paulus Hampel,2020,AfD,
Armin-Paulus Hampel,2021,AfD,
Arndgen,1949,CDU/CSU,
Arndgen,1950,CDU/CSU,
Arndgen,1951,CDU/CSU,
Arndgen,1952,CDU/CSU,
Arndgen,1953,CDU/CSU,
Arndgen,1954,CDU/CSU,
Arndgen,1955,CDU/CSU,
Arndgen,1956,CDU/CSU,
Arndgen,1957,CDU/CSU,
Arndgen,1958,CDU/CSU,
Arndgen,1959,CDU/CSU,
Arndgen,1960,CDU/CSU,
Arndgen,1961,CDU/CSU,
Arndgen,1962,CDU/CSU,
Arndgen,1964,CDU/CSU,
"Arndgen, Antragsteller",1949,CDU/CSU,
"Arndgen, Antragsteller",1951,CDU/CSU,
"Arndgen, Antragsteller",1952,CDU/CSU,
"Arndgen, Antragsteller",1953,CDU/CSU,
"Arndgen, Berichterstatter",1949,CDU/CSU,
"Arndgen, Berichterstatter",1950,CDU/CSU,
"Arndgen, Berichterstatter",1951,CDU/CSU,
"Arndgen, Berichterstatter",1952,CDU/CSU,
"Arndgen, Berichterstatter",1953,CDU/CSU,
"Arndgen, Berichterstatter",1954,CDU/CSU,
"Arndgen, Berichterstatter",1955,CDU/CSU,
"Arndgen, Berichterstatter",1956,CDU/CSU,
Arndt (Hamburg),1971,SPD,
Arne B?msen (Ritterhude),1991,SPD,
Arne B?rnsen (Ritterbude),1996,SPD,
Arne B?rnsen (Ritterhude),1991,SPD,
Arne B?rnsen (Ritterhude),1992,SPD,
Arne B?rnsen (Ritterhude),1993,SPD,
Arne B?rnsen (Ritterhude),1994,SPD,
Arne B?rnsen (Ritterhude),1995,SPD,
Arne B?rnsen (Ritterhude),1996,SPD,
Arne B?rnsen (Ritterhude),1997,SPD,
Arne B?rsen (Ritterhude),1991,SPD,
Arne Fuhrmann,1991,SPD,
Arne Fuhrmann,1992,SPD,
Arne Fuhrmann,1993,SPD,
Arne Fuhrmann,1994,SPD,
Arne Fuhrmann,1995,SPD,
Arne Fuhrmann,1996,SPD,
Arne Fuhrmann,1997,SPD,
Arne Fuhrmann,1998,SPD,
Arne Fuhrmann,1999,SPD,
Arne Fuhrmann,2000,SPD,
Arne Fuhrmann,2001,SPD,
Arne Fuhrmann,2002,SPD,
Arnholz,1949,SPD,
Arnholz,1950,SPD,
Arnholz,1951,SPD,
Arnholz,1952,SPD,
Arnholz,1953,SPD,
Arnholz,1954,SPD,
Arnholz,1955,SPD,
Arnholz,1956,SPD,
Arnholz,1957,SPD,
"Arnholz, Anfragender",1952,SPD,
"Arnholz, Anfragender",1953,SPD,
"Arnholz, Antragsteller",1951,SPD,
"Arnholz, Antragsteller",1952,SPD,
Arno Klare,2014,SPD,
Arno Klare,2015,SPD,
Arno Klare,2016,SPD,
Arno Klare,2017,SPD,
Arno Klare,2018,SPD,
Arno Klare,2019,SPD,
Arno Klare,2020,SPD,
Arno Klare,2021,SPD,
Arno Schmidt (Dresden),1991,FDP,
Arno Schmidt (Dresden),1992,FDP,
Arno Schmidt (Dresden),1993,FDP,
Arno Schmidt (Dresden),1994,FDP,
Arnold Vaatz,1999,CDU/CSU,
Arnold Vaatz,2001,CDU/CSU,
Arnold Vaatz,2002,CDU/CSU,
Arnold Vaatz,2003,CDU/CSU,
Arnold Vaatz,2004,CDU/CSU,
Arnold Vaatz,2005,CDU/CSU,
Arnold Vaatz,2006,CDU/CSU,
Arnold Vaatz,2007,CDU/CSU,
Arnold Vaatz,2008,CDU/CSU,
Arnold Vaatz,2009,CDU/CSU,
Arnold Vaatz,2010,CDU/CSU,
Arnold Vaatz,2011,CDU/CSU,
Arnold Vaatz,2012,CDU/CSU,
Arnold Vaatz,2013,CDU/CSU,
Arnold Vaatz,2014,CDU/CSU,
Arnold Vaatz,2015,CDU/CSU,
Arnold Vaatz,2016,CDU/CSU,
Arnold Vaatz,2017,CDU/CSU,
Arnold Vaatz,2018,CDU/CSU,
Arnold Vaatz,2019,CDU/CSU,
Arnulf Kriedner,1991,CDU/CSU,
Arnulf Kriedner,1992,CDU/CSU,
Arnulf Kriedner,1993,CDU/CSU,
Arnulf Kriedner,1994,CDU/CSU,
Arnulf Kriedner,1995,CDU/CSU,
Arnulf Kriedner,1996,CDU/CSU,
Arnulf Kriedner,1997,CDU/CSU,
Artur Auernhammer,2004,CDU/CSU,
Artur Auernhammer,2005,CDU/CSU,
Artur Auernhammer,2014,CDU/CSU,
Artur Auernhammer,2015,CDU/CSU,
Artur Auernhammer,2016,CDU/CSU,
Artur Auernhammer,2017,CDU/CSU,
Artur Auernhammer,2018,CDU/CSU,
Artur Auernhammer,2019,CDU/CSU,
Artur Auernhammer,2020,CDU/CSU,
Artur Auernhammer,2021,CDU/CSU,
Astrid Damerow,2018,CDU/CSU,
Astrid Damerow,2019,CDU/CSU,
Astrid Damerow,2020,CDU/CSU,
Astrid Damerow,2021,CDU/CSU,
Astrid Grotelüschen,2014,CDU/CSU,
Astrid Grotelüschen,2017,CDU/CSU,
Astrid Grotelüschen,2018,CDU/CSU,
Astrid Grotelüschen,2019,CDU/CSU,
Astrid Grotelüschen,2020,CDU/CSU,
Astrid Grotelüschen,2021,CDU/CSU,
Astrid Klug,2003,SPD,
Astrid Klug,2004,SPD,
Astrid Klug,2005,SPD,
Astrid Timmermann-Fechter,2014,CDU/CSU,
Astrid Timmermann-Fechter,2016,CDU/CSU,
Astrid Timmermann-Fechter,2017,CDU/CSU,
Atzenroth,1957,FDP,
Augstein,1975,SPD,
Augstein,1976,SPD,
Augstein,1978,SPD,
Auhagen,1985,GRüNE,
Auhagen,1986,GRüNE,
Aumer,1950,BP,
Austermann,1982,CDU/CSU,
Austermann,1983,CDU/CSU,
Austermann,1984,CDU/CSU,
Austermann,1985,CDU/CSU,
Austermann,1986,CDU/CSU,
Austermann,1987,CDU/CSU,
Austermann,1988,CDU/CSU,
Austermann,1989,CDU/CSU,
Austermann,1990,CDU/CSU,
Austermann,1991,CDU/CSU,
Axel E. Fischer (Karlsruhe-Land),2018,CDU/CSU,
Axel E. Fischer (Karlsruhe-Land),2019,CDU/CSU,
Axel E. Fischer (Karlsruhe-Land),2020,CDU/CSU,
Axel Knoerig,2010,CDU/CSU,
Axel Knoerig,2011,CDU/CSU,
Axel Knoerig,2012,CDU/CSU,
Axel Knoerig,2013,CDU/CSU,
Axel Knoerig,2014,CDU/CSU,
Axel Knoerig,2015,CDU/CSU,
Axel Knoerig,2016,CDU/CSU,
Axel Knoerig,2017,CDU/CSU,
Axel Knoerig,2018,CDU/CSU,
Axel Knoerig,2019,CDU/CSU,
Axel Knoerig,2020,CDU/CSU,
Axel Knoerig,2021,CDU/CSU,
Axel Müller,2018,CDU/CSU,
Axel Müller,2019,CDU/CSU,
Axel Müller,2020,CDU/CSU,
Axel Müller,2021,CDU/CSU,
Axel Sch?fer (Bochum),2003,SPD,
Axel Sch?fer (Bochum),2004,SPD,
Axel Sch?fer (Bochum),2005,SPD,
Axel Sch?fer (Bochum),2006,SPD,
Axel Sch?fer (Bochum),2007,SPD,
Axel Sch?fer (Bochum),2008,SPD,
Axel Sch?fer (Bochum),2009,SPD,
Axel Sch?fer (Bochum),2010,SPD,
Axel Sch?fer (Bochum),2011,SPD,
Axel Sch?fer (Bochum),2012,SPD,
Axel Sch?fer (Bochum),2013,SPD,
Axel Sch?fer (Bochum),2014,SPD,
Axel Sch?fer (Bochum),2015,SPD,
Axel Sch?fer (Bochum),2016,SPD,
Axel Sch?fer (Bochum),2017,SPD,
Axel Sch?fer (Bochum),2018,SPD,
Axel Sch?fer (Bochum),2019,SPD,
Axel Sch?fer (Bochum),2020,SPD,
Axel Sch?fer (Bochum),2021,SPD,
Aydan ?zoguz,2011,SPD,
Aydan ?zoguz,2012,SPD,
Aydan ?zoguz,2013,SPD,
Aydan ?zoeuz,2010,SPD,
Aydan ?zoeuz,2011,SPD,
Aydan ?zo?uz,2010,SPD,
Aydan ?zo?uz,2018,SPD,
Aydan ?zo?uz,2019,SPD,
Aydan ?zo?uz,2020,SPD,
Aydan ?zo?uz,2021,SPD,
Azize Tank,2014,DIE LINKE,
Azize Tank,2015,DIE LINKE,
Azize Tank,2017,DIE LINKE,
BIehle,1986,CDU/CSU,
BIermann,1980,SPD,
Baack,1979,SPD,
Baack,1980,SPD,
Baack,1981,SPD,
Baack,1982,SPD,
Bach,1960,SPD,
Bach,1961,SPD,
Bachmaier,1983,SPD,
Bachmaier,1984,SPD,
Bachmaier,1985,SPD,
Bachmaier,1986,SPD,
Bachmaier,1987,SPD,
Bachmaier,1988,SPD,
Bachmaier,1989,SPD,
Bachmaier,1990,SPD,
Bachmaier,1991,SPD,
Bachmaler,1986,SPD,
Bading,1958,SPD,
Bading,1959,SPD,
Bading,1960,SPD,
Bading,1961,SPD,
Bading,1962,SPD,
Bading,1963,SPD,
Bading,1964,SPD,
Bading,1965,SPD,
Bading,1966,SPD,
Bading,1967,SPD,
Bading,1968,SPD,
Bading,1969,SPD,
Baeuchle,1971,SPD,
Baeuchle,1972,SPD,
Bahlburg,1950,DP,
"Bahlburg, Berichterstatter",1950,DP,
"Bahlburg, Berichterstatter",1951,DP,
Bahner,1980,CDU/CSU,
Bahner,1981,CDU/CSU,
Bahr,1974,SPD,
Bahr,1977,SPD,
Bahr,1978,SPD,
Bahr,1979,SPD,
Bahr,1980,SPD,
Bahr,1981,SPD,
Bahr,1982,SPD,
Bahr,1983,SPD,
Bahr,1984,SPD,
Bahr,1985,SPD,
Bahr,1986,SPD,
Bahr,1987,SPD,
Bahr,1988,SPD,
Bahr,1989,SPD,
Bahr,1990,SPD,
Baier,1966,CDU/CSU,
Baier,1967,CDU/CSU,
Baier,1968,CDU/CSU,
Baier,1969,CDU/CSU,
Baier,1970,CDU/CSU,
Baier,1971,CDU/CSU,
Baier,1972,CDU/CSU,
Baier,1973,CDU/CSU,
Baier,1974,CDU/CSU,
Baier,1975,CDU/CSU,
Baier (Buchen),1957,CDU/CSU,
Baier (Mosbach),1958,CDU/CSU,
Baier (Mosbach),1959,CDU/CSU,
Baier (Mosbach),1960,CDU/CSU,
Baier (Mosbach),1961,CDU/CSU,
Baier (Mosbach),1962,CDU/CSU,
Baier (Mosbach),1963,CDU/CSU,
Baier (Mosbach),1964,CDU/CSU,
Baier (Mosbach),1965,CDU/CSU,
Baldauf,1960,CDU/CSU,
Baler,1966,CDU/CSU,
Baler,1967,CDU/CSU,
Baler,1968,CDU/CSU,
Baler (Mosbach),1960,CDU/CSU,
Baler (Mosbach),1962,CDU/CSU,
Baler (Mosbach),1964,CDU/CSU,
Baler (Mosbach),1965,CDU/CSU,
Balkenhol,1963,CDU/CSU,
Balkenhol,1964,CDU/CSU,
Balkenhol,1967,CDU/CSU,
Balkenhol,1968,CDU/CSU,
Balkenhol,1970,CDU/CSU,
Balkenhol,1971,CDU/CSU,
Balkenhol,1972,CDU/CSU,
Bals,1954,SPD,
Bals,1956,SPD,
Bals,1957,SPD,
Bals,1959,SPD,
Bals,1960,SPD,
Bals,1962,SPD,
Bals,1963,SPD,
Bals,1966,SPD,
Bals,1968,SPD,
Bals,1969,SPD,
"Bals, Antragsteller",1954,SPD,
"Bals, Berichterstatter",1955,SPD,
"Bals, Berichterstatter",1956,SPD,
Baltes,1968,FDP,"该年属于多个党派: SPD, FDP"
Baltes,1968,SPD,"该年属于多个党派: SPD, FDP"
Baltes,1969,SPD,
Bamberg,1981,SPD,
Bamberg,1984,SPD,
Bamberg,1985,SPD,
Bamberg,1986,SPD,
Bamberg,1988,SPD,
Bamberg,1989,SPD,
Bamberg,1990,SPD,
Bangemann,1975,FDP,
Bangemann,1979,FDP,
Banse,1954,SPD,
Banse,1956,SPD,
Barbara Imhof,1995,SPD,
Barbara Imhof,1997,SPD,
Barbara Imhof,2002,SPD,
Barbara Lanzinger,2003,CDU/CSU,
Barbara Lanzinger,2005,CDU/CSU,
Barbara Lanzinger,2014,CDU/CSU,
Barbara Lanzinger,2015,CDU/CSU,
Barbara Lanzinger,2016,CDU/CSU,
Barbara Lanzinger,2017,CDU/CSU,
Barbara Weiler,1991,SPD,
